Nível 1 - Inglês|Nível 1 - Português|Nível 2 - Inglês|Nível 2 - Português|Nível 3 - Inglês|Nível 3 - Português
||||Spain|Espanha
||||Sweden|Suécia
||||Switzerland|Suíça
||||Ukraine|Ucrânia
||Political institutions and public administration (North America)|Instituições políticas e administração pública (América do Norte)||
||Political institutions and public administration (United States)|Instituições políticas e administração pública (Estados Unidos)||
||||Confederate States of America|Estados Confederados da América
||||United States|Estados Unidos
||Political science (General)|Ciência Política (Geral)||
||||Collective biography of political scientists|Biografia coletiva de cientistas políticos
||||Congresses|Congressos
||||Dictionaries and encyclopedias|Dicionários e enciclopédias
||||History|História
||||Periodicals|Periódicos
||||Societies|Sociedades
||||Study and teaching. Research|Estudo e ensino. Pesquisa
||||Theory. Relations to other subjects|Teoria. Relações com outros assuntos
||Political theory|Teoria Política||
||||Ancient state|Estado antigo
||||Consensus. Consent of the governed|Consenso. Consentimento do governado
||||Forms of the state|Formas de estado
||||Islamic state|Estado islâmico
||||Medieval state|Estado medieval
||||Modern state|Estado moderno
||||Nationalism. Nation state|Nacionalismo. Estado-nação
||||Oriental state|Estado oriental
||||Patriotism|Patriotismo
||||Political geography|Geografia política
||||Purpose, functions, and relations of the state|Objetivo, funções e relações do estado
||||Sovereignty|Soberania
||||Symbolism|Simbolismo
||||Violence. Political violence|Violência. Violência política
Science|Ciência||||
||Astronomy|Astronomia||
||||Astrogeology|Astrogeologia
||||Astrophysics|Astrofísica
||||Cosmogony. Cosmology|Cosmogonia. Cosmologia
||||Descriptive astronomy|Astronomia Descritiva
||||General|Geral
||||Geodesy|Geodésia
||||Non-optical methods of astronomy|Métodos não ópticos de astronomia
||||Practical and spherical astronomy|Astronomia prática e esférica
||||Theoretical astronomy and celestial mechanics|Astronomia teórica e mecânica celeste
||Biology (General)|Biologia (Geral)||
||||Cytology|Citologia
||||Ecology|Ecologia
||||Economic biology|Biologia econômica
||||Evolution|Evolução
||||Genetics|Genética
||||Life|Vida
||||Reproduction|Reprodução
||Botany|Botânica||
||||Cryptogams|Criptogramas
||||General|Geral
||||Plant anatomy|Anatomia vegetal
||||Plant ecology|Ecologia vegetal
||||Plant physiology|Fisiologia vegetal
||||Spermatophyta. Phanerogams|Spermatophyta. Fanerógamas
||Chemistry|Química||
||||Analytical chemistry|Química Analítica
||||Crystallography|Cristalografia
||||General. Including alchemy|Geral. Incluindo alquimia
||||Inorganic chemistry|Química Inorgânica
||||Organic chemistry|Química orgânica
||||Physical and theoretical chemistry|Química Física e Teórica
||Geology|Geologia||
||||Dynamic and structural geology|Geologia dinâmica e estrutural
||||General|Geral
||||Mineralogy|Mineralogia
||||Paleobotany|Paleobotânica
||||Paleontology|Paleontologia
||||Paleozoology|Paleozoologia
||||Petrology|Petrologia
||||Stratigraphy|Estratigrafia
||Human anatomy|Anatomia humana||
||||General|Geral
||||Human and comparative histology|Histologia humana e comparativa
||||Human embryology|Embriologia humana
||||Regional anatomy|Anatomia regional
||Mathematics|Matemática||
||||Algebra|Álgebra
||||Analysis|Análise
||||Analytic mechanics|Mecânica analítica
||||Elementary mathematics. Arithmetic|Matemática elementar. Aritmética
||||General|Geral
||||Geometry. Trigonometry. Topology|Geometria. Trigonometria. Topologia
||||Instruments and machines|Instrumentos e máquinas
||||Probabilities. Mathematical statistics|Probabilidades. Estatística Matemática
||||Tables|Mesas
||Microbiology|Microbiologia||
||||Bacteria|Bactérias
||||Cyanobacteria|Cianobactéria
||||General|Geral
||||Immunology|Imunologia
||||Microbial ecology|Ecologia microbiana
||||Microorganisms in the animal body|Microorganismos no corpo animal
||||Virology|Virologia
||Natural history (General)|História Natural (Geral)||
||||General. Including nature conservation, geographical distribution|Geral. Incluindo conservação da natureza, distribuição geográfica
||||Microscopy|Microscopia
||Physics|Física||
||||Acoustics. Sound|Acústica. Som
||||Atomic physics. Constitution and properties of matter|Física atômica. Constituição e propriedades da matéria
||||Descriptive and experimental mechanics|Mecânica descritiva e experimental
||||Electricity and magnetism|Eletricidade e magnetismo
||||General|Geral
||||Geomagnetism|Geomagnetismo
||||Geophysics. Cosmic physics|Geofísica. Física cósmica
||||Heat|Calor
||||Meteorology. Climatology|Meteorologia. Climatologia
||||Nuclear and particle physics. Atomic energy. Radioactivity|Física nuclear e de partículas. Energia Atômica. Radioatividade
||||Optics. Light|Óptica. Luz
||||Radiation physics (General)|Física da radiação (geral)
||||Weights and measures|Pesos e medidas
||Physiology|Fisiologia||
||||Animal biochemistry|Bioquímica animal
||||Experimental pharmacology|Farmacologia Experimental
||||General|Geral
||||Neurophysiology and neuropsychology|Neurofisiologia e neuropsicologia
||Science (General)|Ciência (Geral)||
||||Cybernetics|Cibernética
||||General|Geral
||Zoology|Zoologia||
||||Anatomy|Anatomia
||||Animal behavio|Comportamento animal
||||Chordates. Vertebrates|Cordados. Vertebrados
||||Embryology|Embriologia
||||General|Geral
||||Invertebrates|Invertebrados
||||Morphology|Morfologia
Social Sciences|Ciências Sociais||||
||Commerce|Comércio||
||||Balance of trade|Balança comercial
||||Boards of trade. Chambers of commerce. Merchants associations|Juntas de comércio. Câmaras de comércio. Associações de comerciantes
||||Business|O negócio
||||Commercial geography. Economic geography|Geografia comercial. Geografia econômica
||||Commodities. Commercial products|Commodities. Produtos comerciais
||||Tariff. Free trade. Protectionism|Pauta. Comércio livre. Protecionismo
||Communities. Classes. Races|Comunidades. Classes. Raças||
||||Classes|Aulas
||||Human settlements. Communities|Assentamentos Humanos. Comunidades
||||Races|Corridas
||||Rural groups. Rural sociology|Grupos rurais. Sociologia rural
||||Urban groups. The city. Urban sociology|Grupos urbanos. A cidade. Sociologia urbana
||Economic history and conditions|História e condições econômicas||
||||Economic geography of the oceans (General)|Geografia econômica dos oceanos (Geral)
||||Special topics|Tópicos especiais
||Economic theory. Demography|Teoria econômica. Demografia||
||||Business cycles. Economic fluctuations|Ciclos de negócios. Flutuações econômicas
||||Capital. Capitalism|Capital. Capitalismo
||||Competition. Production. Wealth|Concorrência. Produção. Riqueza
||||Consumption. Demand|Consumo. exigem
||||Demography. Population. Vital events|Demografia. População. Eventos vitais
||||Economics as a science|Economia como ciência
||||History of economics. History of economic theory|História da economia. História da teoria econômica
||||Income. Factor shares|Renda. Ações do fator
||||Methodology|Metodologia
||||Price|Preço
||||Value. Utility|Valor. Utilitário
||||Welfare theory|Teoria do bem-estar
||Finance|Finança||
||||Banking|Bancário
||||Credit. Debt. Loans|Crédito. Dívida. Empréstimos
||||Finance management. Business finance. Corporation finance|Gestão de finanças. Finanças empresariais. Finanças corporativas
||||Foreign exchange. International finance. International monetary system|Câmbio. Finanças Internacionais. Sistema monetário internacional
||||Insurance|Seguro
||||Investment, capital formation, speculation|Investimento, formação de capital, especulação
||||Liquidity|Liquidez
||||Lotteries|Loterias
||||Money|Dinheiro
||||Personal finance|Finanças pessoais
||||Trust services. Trust companies|Serviços de confiança. Empresas de confiança
||Industries. Land use. Labor|Indústrias. Uso da terra. Trabalho||
||||Agriculture|Agricultura
||||Economic growth, development, planning|Crescimento econômico, desenvolvimento, planejamento
||||Industry|Indústria
||||Labor. Work. Working class|Trabalho. Trabalhos. Classe operária
||||Land use|Uso da terra
||||Large industry. Factory system. Big business|Grande indústria. Sistema de fábrica. Grande negócio
||||Management. Industrial management|Gestão. Gestão Industrial
||||Special industries and trades|Indústrias e negócios especiais
||Public finance|Finanças públicas||
||||Customs administration|Administração customizada
||||Expenditures. Government spending|Despesas. Gastos públicos
||||History|História
||||Income and expenditure. Budget|Receitas e despesas. Despesas
||||Local finance. Municipal finance|Finanças locais. Finanças municipais
||||Periodicals. Serials. By region or country|Publicações periódicas. Serials. Por região ou país
||||Public accounting. Auditing|Contabilidade pública. Auditoria
||||Public debts|Dívidas públicas
||||Revenue. Taxation. Internal revenue|Receita. Tributação. Receita interna
||Social history and conditions. Social problems. Social reform|História e condições sociais. Problemas sociais. Reforma social||
||||Community centers. Social centers|Centros comunitários. Centros sociais
||||The church and social problems|A igreja e os problemas sociais
||Social pathology. Social and public welfare. Criminology|Patologia social. Bem-estar social e público. Criminologia||
||||Accidents. Prevention of accidents|Acidentes. Prevenção de acidentes
||||Alcoholism. Intemperance. Temperance reform|Alcoolismo. Intemperança. Reforma da temperança
||||Charity fairs, bazaars, etc.|Feiras de caridade, bazares, etc.
||||Criminal justice administration|Administração de justiça criminal
||||Criminology|Criminologia
||||Degeneration|Degeneração
||||Drug habits. Drug abuse|Hábitos de drogas. Abuso de drogas
||||Emergency management|Gerenciamento de Emergência
||||Free professional services|Serviços profissionais gratuitos
||||International social work|Trabalho social internacional
||||Life saving|Poupança de vida
||||Protection, assistance and relief|Proteção, assistência e socorro
||||Refugee problems|Problemas de refugiados
||||Self-help groups|Grupos de autoajuda
||||Social service. Social work. Charity organization and practice|Serviço Social. Trabalho social. Organização e prática de caridade
||||The church and charity|A igreja e a caridade
||||Tobacco habit|Hábito de fumar
||||Women and charity|Mulheres e caridade
||Social sciences (General)|Ciências Sociais (Geral)||
||Socialism. Communism. Anarchism|Socialismo. Comunismo. Anarquismo||
||||Anarchism|Anarquismo
||||Communism: Utopian socialism, collective settlements|Comunismo: socialismo utópico, assentamentos coletivos
||||Communism/socialism in relation to special topics|Comunismo / socialismo em relação a tópicos especiais
||||Utopias. The ideal state|Utopias. O estado ideal
||Societies: secret, benevolent, etc.|Sociedades: secretas, benevolentes, etc.||
||||Clubs. Clubs and societies for special classes Including boys' societies, Boy scouts, girls' societie|Clubs. Clubes e sociedades para classes especiais Incluindo sociedades de meninos, escoteiros, sociedade de meninas
||||Freemasons|Maçons
||||Knights of Pythias|Cavaleiros de Pítias
||||Odd Fellows|Pessoas esquisitas
||||Other societies|Outras sociedades
||||Other societies. By classes Benevolent and "friendly" societies and mutual assessment fraternities|Outras sociedades. Por classes Sociedades benevolentes e "amigáveis" e fraternidades de avaliação mútua
||||Secret societies|Sociedades secretas
||Sociology (General)|Sociologia (Geral)||
||||Culture|Cultura
||||Deviant behavior. Social deviance|Comportamento desviante. Desvio social
||||Groups and organizations|Grupos e organizações
||||History of sociology. History of sociological theory|História da sociologia. História da teoria sociológica
||||Social change|Mudança social
||||Social control|Controle social
||||Social institutions|Instituições sociais
||||Social psychology|Psicologia Social
||||Social structure|Estrutura social
||||Social systems|Sistemas sociais
||||Theory. Method. Relations to other subjects|Teoria. Método. Relações com outros assuntos
||||These are obsolete numbers no longer used by the Library of Congress|Estes são números obsoletos que não são mais usados ​​pela Biblioteca do Congresso
||Statistics|Estatísticas||
||||Registration of vital events. Vital records|Registro de eventos vitais. Registros vitais
||||Statistical data|Dados estatísticos
||||Statistical services. Statistical bureaus|Serviços estatísticos. Escritórios de estatística
||||Theory and method of social science statistics|Teoria e método das estatísticas das ciências sociais
||The family. Marriage. Woman|Família. Casamento. Mulher||
||||Erotica|Erotica
||||Life skills. Coping skills. Everyday living skills|Habilidade de vida. Habilidades de enfrentamento. Habilidades para a vida cotidiana
||||Life style|Estilo de vida
||||Men|Homens
||||Sex role|Papel sexual
||||Sexual life|Vida sexual
||||Thanatology. Death. Dying|Tanatologia. Morte. Morrendo
||||The family. Marriage. Home|A família. Casamento. Casa
||||Women. Feminism|Mulheres. Feminismo
||Transportation and communications|Transporte e comunicações||
||||Air transportation. Airlines|Transporte aéreo. Companhias aéreas
||||Artificial satellite telecommunications|Telecomunicações artificiais por satélite
||||Automotive transportation|Transporte automotivo
||||Cellular telephone services industry. Wireless telephone industry|Setor de serviços de telefonia celular. Setor de telefonia sem fio
||||Express service|serviço expresso
||||Ferries|Balsas
||||Freight (General)|Frete (geral)
||||Messenger service|Serviço de mensageiro
||||Passenger traffic (General)|Tráfego de passageiros (geral)
||||Pneumatic service|Serviço pneumático
||||Postal service. Stamps. Philately|Serviço postal. Selos. Filatelia
||||Railroads. Rapid transit systems|Ferrovias. Sistemas de trânsito rápido
||||Signaling|Sinalização
||||Stage lines|Linhas de palco
||||Telecommunication industry. Telegraph|Indústria de telecomunicações. Telégrafo
||||Telephone industry|Indústria de telefonia
||||Traffic engineering. Roads and highways. Streets|Engenharia de Tráfego. Estradas e rodovias. Ruas
||||Transportation geography. Trade routes|Geografia de transporte. Rotas comerciais
||||Urban transportation|Transporte urbano
||||Water transportation|Transportede água
Technology|Tecnologia||||
||Bridge engineering|Engenharia de ponte||
||Building construction|Construção civil||
||||Architectural engineering. Structural engineering of buildings|Engenharia Arquitetônica. Engenharia estrutural de edifícios
||||Buildings: Construction with reference to use|Edifícios: construção com referência ao uso
||||Construction by phase of the work (Building trades)|Construção por fase da obra (Negociação de edifícios)
||||Construction equipment in building|Equipamento de construção em edifícios
||||Decoration and decorative furnishings|Decoração e mobiliário decorativo
||||Details in building design and construction|Detalhes no projeto e construção de edifícios
||||Environmental engineering of buildings. Sanitary engineering of buildings|Engenharia ambiental de edifícios. Engenharia Sanitária de edifícios
||||Heating and ventilation. Air conditioning|Aquecimento e ventilação. Ar condicionado
||||Illumination. Lighting|Iluminação
||||Maintenance and repair|Manutenção e reparo
||||Plumbing and pipefitting|Encanamento 
||||Protection of buildings|Proteção de edifícios
||||Systems of building construction |Sistemas de construção civil
||Chemical technology|Tecnologia química||
||||Biotechnology|Biotecnologia
||||Cement industries|Indústrias de cimento
||||Chemical engineering|Engenharia Química
||||Chemicals: Manufacture, use, etc.|Produtos químicos: fabricação, uso, etc.
||||Clay industries. Ceramics. Glass|Indústrias de argila. Cerâmica. Vidro
||||Explosives and pyrotechnics|Explosivos e pirotecnia
||||Fermentation industries. Beverages. Alcohol|Indústrias de fermentação. Bebidas. Álcool
||||Food processing and manufacture|Processamento e fabricação de alimentos
||||Fuel|Combustível
||||Gas industry|Indústria de gás
||||Illuminating industries (Nonelectric)|Indústrias de iluminação (não elétricas)
||||Industrial electrochemistry|Eletroquímica industrial
||||Low temperature engineering. Cryogenic engineering. Refrigeration|Engenharia de baixa temperatura. Engenharia criogênica. Refrigeração
||||Oils, fats, and waxes|Óleos, gorduras e ceras
||||Paints, pigments, varnishes, etc.|Tintas, pigmentos, vernizes, etc.
||||Polymers and polymer manufacture|Polímeros e fabricação de polímeros
||||Textile bleaching, dyeing, printing, etc.|Branqueamento, tingimento, estampagem de têxteis, etc.
||Electrical engineering. Electronics. Nuclear engineering|Engenharia Elétrica. Eletrônicos. Engenharia Nuclear||
||||Applications of electric power|Aplicações de energia elétrica
||||Distribution or transmission of electric power|Distribuição ou transmissão de energia elétrica
||||Dynamoelectric machinery and auxiliaries|Máquinas dínamoelétricas e auxiliares
||||Electric apparatus and materials. Electric circuits. Electric networks|Aparelhos e materiais elétricos. Circuitos elétricos. Redes elétricas
||||Electric heating|Aquecimento elétrico
||||Electric lighting|Iluminação elétrica
||||Electric meters|Medidores elétricos
||||Electricity for amateurs. Amateur constructors' manuals|Eletricidade para amadores. Manuais de construtores amadores
||||Electronics|Eletrônicos
||||Nuclear engineering. Atomic power|Engenharia Nuclear. Energia atômica
||||Production of electric energy or power. Powerplants. Central stations|Produção de energia elétrica. Usinas elétricas. Estações centrais
||||Production of electricity by direct energy conversion|Produção de eletricidade por conversão direta de energia
||||Telecommunication|Telecomunicação
||Engineering (General). Civil engineering (General)|Engenharia (Geral). Engenharia Civil (Geral)||
||||Acoustics in engineering. Acoustical engineering|Acústica em engenharia. Engenharia acústica
||||Applied optics. Photonics|Óptica aplicada. Fotônica
||||Bioengineering|Bioengenharia
||||Disasters and engineering|Desastres e engenharia
||||Earthwork. Foundations|Terraplenagem. Fundações
||||Engineering design|Design de engenharia
||||Engineering economy|Economia de engenharia
||||Engineering geology. Rock mechanics. Soil mechanics. Underground construction|Geologia de engenharia. Mecânica das rochas. Mecânica dos Solos. Construção subterrânea
||||Engineering instruments, meters, etc. Industrial instrumentation|Instrumentos de engenharia, medidores, etc. Instrumentação industrial
||||Engineering machinery, tools, and implements|Máquinas, ferramentas e implementos de engenharia
||||Engineering mathematics. Engineering analysis|Matemática de engenharia. Análise de engenharia
||||Engineering meteorology|Meteorologia de engenharia
||||Environmental engineering|Engenharia Ambiental
||||Human engineering|Engenharia humana
||||Management of engineering works|Gestão de obras de engenharia
||||Materials of engineering and construction. Mechanics of materials|Materiais de engenharia e construção. Mecânica de Materiais
||||Mechanics of engineering. Applied mechanics|Mecânica da engenharia. Mecânica aplicada
||||Plasma engineering. Applied plasma dynamics|Engenharia de plasma. Dinâmica de plasma aplicada
||||Structural engineering (General)|Engenharia estrutural (Geral)
||||Surveying|Topografia
||||Systems engineering|Engenharia de sistemas
||||Transportation engineering|Engenharia de transporte
||||Tunneling. Tunnels|Tunelamento. Túneis
||Environmental technology. Sanitary engineering|Tecnologia Ambiental. Engenharia Sanitária||
||||Environmental effects of industries and plants|Efeitos ambientais de indústrias e fábricas
||||Environmental pollution|Poluição ambiental
||||Environmental protection|Proteção ambiental
||||Hazardous substances and their disposal|Substâncias perigosas e sua eliminação
||||Industrial and factory sanitation|Saneamento industrial e fabril
||||Low temperature sanitary engineering|Engenharia sanitária de baixa temperatura
||||Municipal engineering|Engenharia municipal
||||Municipal refuse. Solid wastes|Lixo municipal. Resíduos sólidos
||||Rural and farm sanitary engineering|Engenharia sanitária rural e agrícola
||||Sewage collection and disposal systems. Sewerage|Sistemas de coleta e disposição de esgoto. Sistema de esgoto
||||Special types of environment|Tipos especiais de ambiente
||||Street cleaning. Litter and its removal|Limpeza de ruas. Lixo e sua remoção
||||Water supply for domestic and industrial purposes|Abastecimento de água para fins domésticos e industriais
||Handicrafts. Arts and crafts|Artesanato. Artes e ofícios||
||||Articles for children|Artigos para crianças
||||Clothing manufacture. Dressmaking. Tailoring|Fabricação de roupas. Costura. Alfaiataria
||||Hairdressing. Beauty culture. Barbers' work|Cabeleireiro. Cultura da beleza. Trabalho de barbeiros
||||Home arts. Homecrafts|Artes em casa. Artesanato para casa
||||Lathework. Turning|Torno 
||||Laundry work|Lavanderia
||||Manual training. School shops|Treinamento manual. Oficinas escolares
||||Metalworking|Metalurgia
||||Painting. Wood finishing|Pintura. Acabamento de madeira
||||Soft home furnishings|Móveis para casa
||||Woodworking. Furniture making. Upholstering|Carpintaria. Fabricação de móveis. Estofamento
||Highway engineering. Roads and pavements|Engenharia Rodoviária. Estradas e calçadas||
||||Construction details|Detalhes de construção
||||Highway design. Interchanges and intersections|Projeto de rodovia. Intercâmbios e cruzamentos
||||Location engineering|Engenharia de localização
||||Materials for roadmaking|Materiais para construção de estradas
||||Pavements and paved roads|Pavimentos e estradas pavimentadas
||||Pedestrian facilities|Instalações para pedestres
||||Roadside development. Landscaping|Desenvolvimento na estrada. Paisagismo
||||Streets|Ruas
||Home economics|Economia Doméstica||
||||Building operation and housekeeping|Operação de construção e limpeza
||||Cooking|Culinária
||||Dining-room service|Serviço de sala de jantar
||||Hospitality industry. Hotels, clubs, restaurants, etc. Food service|Indústria de hospitalidade. Hotéis, clubes, restaurantes, etc. Serviço de alimentação
||||Mobile home living|Moradia em casa móvel
||||Nutrition. Foods and food supply|Nutrição. Alimentos e abastecimento de alimentos
||||Recreational vehicle living|Viver em veículo recreacional
||||Taverns, barrooms, saloons|Tabernas, bares, salões
||||The house|Casa
||Hydraulic engineering|Engenharia Hidráulica||
||||Canals and inland navigation. Waterways|Canais e navegação interior. Vias navegáveis
||||Dams. Barrages|Represas. Barragens
||||General preliminary operations. Dredging. Submarine building|Operações preliminares gerais. Dragagem. Construção submarina
||||Harbors and coast protective works. Coastal engineering. Lighthouses|Portos e obras de proteção costeira. Engenharia costeira. Faróis
||||Irrigation engineering. Reclamation of wasteland. Drainage|Engenharia de irrigação. Recuperação de terrenos baldios. Drenagem
||||River protective works. Regulation. Flood control|Obras de proteção do rio. Regulamento. Controle de inundação
||||River, lake, and water-supply engineering (General)|Engenharia de abastecimento de água, lago e rio (Geral)
||||Technical hydraulics|Hidráulica técnica
||Manufactures|Fábrica. Manufaturas||
||||Animal feeds and feed mills. Pet food industry|Alimentos para animais e fábricas de rações. Indústria de ração
||||Animal products|Produtos de origem animal
||||Cereals and grain. Milling industry|Cereais e grãos. Indústria de moagem
||||Furs|Peles
||||Leather industries. Tanning|Indústrias de couro. Bronzeamento
||||Metal manufactures. Metalworking|Manufaturas de metal. Metalurgia
||||Packaging|Embalagem
||||Paper manufacture and trade|Fabricação e comércio de papel
||||Production management. Operations management|Gerenciamento de Produção. Gerenciamento de operações
||||Rubber industry|Indústria da borracha
||||Stonework|Cantaria
||||Textile industries|Indústrias têxteis
||||Tobacco industry|Industria do tabaco
||||Wood technology. Lumber|Tecnologia de madeira. Madeira serrada
||Mechanical engineering and machinery|Engenharia Mecânica e maquinário||
||||Agricultural machinery. Farm machinery|Maquinário agrícola. Maquinário de Fazenda
||||Control engineering systems. Automatic machinery (General)|Sistemas de engenharia de controle. Maquinaria automática (Geral)
||||Energy conservation|Conservação de energia
||||Heat engines|Motores térmicos
||||Hoisting and conveying machinery|Máquinas de elevação e transporte
||||Hydraulic machinery|Maquinário hidráulico
||||Lifting and pressing machinery|Máquinas de elevação e prensagem
||||Machine construction (General)|Construção de máquina (Geral)
||||Machine design and drawing|Projeto e desenho da máquina
||||Machine shops and machine shop practice|Oficinas de máquinas e prática de oficina de máquina
||||Machinery exclusive of prime movers|Maquinário exclusivo de motores principais
||||Mechanical devices and figures. Automata. Ingenious mechanisms. Robots (General)|Dispositivos mecânicos e figuras. Autômatos. Mecanismos engenhosos. Robôs (Geral)
||||Mechanical movements|Movimentos mecânicos
||||Mechanics applied to machinery. Dynamics|Mecânica aplicada a máquinas. Dinâmica
||||Miscellaneous motors and engines|Diversos motores e engrenagens
||||Pneumatic machinery|Maquinaria pneumática
||||Power resources|Recursos de energia
||||Renewable energy sources|Fontes de energia renováveis
||||Sewing machines|Máquinas de costura
||||Steam engineering|Engenharia a vapor
||||Turbines. Turbomachines (General)|Turbinas (Geral)
||||Vacuum technology|Tecnologia de vácuo
||Mining engineering. Metallurgy|Engenharia de Minas. Metalurgia||
||||Building and ornamental stones|Pedras de construção e ornamentais
||||Metallurgy|Metalurgia
||||Mine transportation, haulage and hoisting. Mining machinery|Transporte, transporte e içamento de minas. Maquinário de mineração
||||Mineral deposits. Metallic ore deposits. Prospecting|Depósitos minerais. Depósitos de minério metálico. Prospecção
||||Nonmetallic minerals|Minerais não metálicos
||||Ore deposits and mining of particular metals|Depósitos de minério e mineração de metais específicos
||||Practical mining operations. Safety measures|Operações de mineração práticas. Medidas de segurança
||Motor vehicles. Aeronautics. Astronautics|Veículos motorizados. Aeronáutica. Astronáutica||
||||Aeronautics. Aeronautical engineering|Aeronáutica. Engenharia Aeronáutica
||||Astronautics. Space travel|Astronáutica. Viagem ao espaço
||||Motor vehicles. Cycles|Veículos motorizados. Ciclos
||||Rocket propulsion. Rockets|Propulsão de foguete. Foguetes
||Ocean engineering|Engenharia Oceânica||
||Photography|Fotografia||
||||Applied photography|Fotografia aplicada
||||Cameras|Máquinas fotográficas
||||Cinematography. Motion pictures|Cinematografia. Filmes
||||Color photography|Fotografia colorida
||||Lighting|Iluminação
||||Photographic processing. Darkroom technique|Processamento fotográfico. Técnica de câmara escura
||||Photomechanical processes|Processos fotomecânicos
||||Studio and laboratory|Estúdio e laboratório
||||Transparencies. Diapositives|Transparências. Diapositivos
||Railroad engineering and operation|Engenharia e operação ferroviária||
||||Electric railways|Ferrovias elétricas
||||High speed ground transporation|Transporte terrestre de alta velocidade
||||Local and light railways|Ferrovias locais e leves
||||Railway construction|Construção ferroviária
||||Railway equipment and supplies|Equipamento e suprimentos ferroviários
||||Railway operation and management|Operação e gestão ferroviária
||Technology (General)|Tecnologia (Geral)||
||||Communication of technical information|Comunicação de informações técnicas
||||Exhibitions. Trade shows. World's fairs|Exposições. Feiras. Feiras mundiais
||||Industrial directories|Diretórios industriais
||||Industrial engineering. Management engineering|Engenharia Industrial. Engenharia de gerência
||||Industrial research. Research and development|Pesquisa industrial. Pesquisa e desenvolvimento
||||Mechanical drawing. Engineering graphics|Desenho mecânico. Gráficos de engenharia
||||Patents. Trademarks|Patentes. Marcas Registradas
||||Technical education. Technical schools|Educação técnica. Escolas técnicas
||||Technological change|Mudança tecnológica
